Ingredient,Label,Usage_Count,Mean_Rank,Std_Rank,Median_Rank,Mean_Price,Dry_Rate,Oily_Rate,Normal_Rate,Combination_Rate,Brand_Count
polysilicone,Moisturizer,21,4.1000000000000005,0.9899494936611668,4.3,79.95238095238095,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.7619047619047619,15
citrus aurantifolia peel extract,Moisturizer,7,3.4285714285714284,1.5391710817994273,3.9,195.0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714,2
laminaria digitata extract,Moisturizer,12,4.15,0.3370999312316212,4.15,131.5,0.6666666666666666,0.6666666666666666,0.75,0.5833333333333334,5
crithmum maritimum extract,Moisturizer,8,3.6750000000000003,1.5144541685278656,4.1,153.0,0.625,0.625,0.75,0.625,3
salicornia herbacea extract,Moisturizer,10,4.12,0.4237399621885522,3.95,141.8,0.7,0.7,0.8,0.6,5
plankton extract,Moisturizer,6,4.033333333333333,0.32659863237109055,4.0,151.83333333333334,0.5,0.6666666666666666,0.6666666666666666,0.5,4
chlorella vulgaris extract,Moisturizer,11,3.7363636363636363,1.2651266555351106,4.2,159.63636363636363,0.6363636363636364,0.45454545454545453,0.7272727272727273,0.36363636363636365,3
caffeine,Moisturizer,42,4.216666666666667,0.32753079666533297,4.2,75.14285714285714,0.5238095238095238,0.5714285714285714,0.5476190476190477,0.5952380952380952,13
sea salt maris sal sel marin,Moisturizer,5,3.9,0.22360679774997902,3.9,218.0,0.8,1.0,1.0,0.8,1
micrococcus lysate,Moisturizer,7,4.328571428571428,0.45355736761107285,4.4,103.28571428571429,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,3
hydrolyzed algin,Moisturizer,7,4.085714285714286,0.37606990231680537,4.0,172.85714285714286,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,2
cetyl alcohol,Moisturizer,49,4.240816326530613,0.29291520910989105,4.3,75.36734693877551,0.5918367346938775,0.5918367346938775,0.6530612244897959,0.6122448979591837,29
